Title,Author,ISBN,Publisher,Date Read,Shelves,Bookshelves,read_dates,tags,authors,isbn10,isbn13,owned,dropped_dates,currently_reading
Ragionevoli dubbi,Gianrico Carofiglio,9788838921469,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Gianrico Carofiglio,,9788838921469,,,
Book 9788809971493,Unknown Author,9788809971493,Giunti Editore,,,Fiction Mystery&Detective General,,"Fiction,Mystery & Detective,General",Unknown Author,,9788809971493,,,
Ombre sul lago,Cocco & Magella,9788823502543,Guanda,,,Mystery Historical Thriller Contemporary,,"Mystery,Historical,Thriller,Contemporary",Cocco & Magella,,9788823502543,,,
La costola di Adamo,Antonio Manzini,9788838931666,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Antonio Manzini,,9788838931666,,,
Tra lei e me,Giampaolo Simi,9788838948350,Sellerio,,,,,,Giampaolo Simi,,9788838948350,,,
Ragazze smarrite. Un'avventura del commissario Bordelli,Marco Vichi,9788823526839,Guanda,,,,,,Marco Vichi,,9788823526839,,,
Indizi mortali,Robert Bryndza,9788822775634,Newton Compton,,,Fiction Thrillers General,,"Fiction,Thrillers,General",Robert Bryndza,,9788822775634,,,
Un delitto avrà luogo,Agatha Christie,9788804507581,Mondadori,,,Mystery Crime Classics Thriller,,"Mystery,Crime,Classics,Thriller",Agatha Christie,,9788804507581,,,
Postmortem,Patricia Daniels Cornwell,9780762188598,ImPress Mystery,,,Fiction Mystery&Detective WomenSleuths Places UnitedStates,,"Fiction,Mystery & Detective,Women Sleuths,Places,United States",Patricia Daniels Cornwell,,9780762188598,,,
Crimini e misteri italiani irrisolti. Il detective sei tu!,Iacopo Cellini,9788822793690,Newton Compton Editori,,,Games&Activities Puzzles SocialScience Criminology,,"Games & Activities,Puzzles,Social Science,Criminology",Iacopo Cellini,,9788822793690,,,
La svolta,Michael Connelly,9788858507681,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858507681,,,
La memoria del topo,Michael Connelly,9788858502761,Edizioni Piemme,,,Fiction Mystery&Detective PoliceProcedural Thrillers Suspense Crime,,"Fiction,Mystery & Detective,Police Procedural,Thrillers,Suspense,Crime",Michael Connelly,,9788858502761,,,
La città buia,Michael Connelly,9788858500842,Edizioni Piemme,,,Fiction Mystery&Detective InternationalCrime&Mystery Thrillers Crime Medical,,"Fiction,Mystery & Detective,International Crime & Mystery,Thrillers,Crime,Medical",Michael Connelly,,9788858500842,,,
In tre contro il delitto,Agatha Christie,9788804510055,Mondadori,,,Mystery Classics Crime,,"Mystery,Classics,Crime",Agatha Christie,,9788804510055,,,
Una brutta faccenda,Marco Vichi,9788850207992,TEA,,,Mystery Crime Historical,,"Mystery,Crime,Historical",Marco Vichi,,9788850207992,,,
Morte in una domenica di pioggia,Joan Aiken,,Longanesi,,,Mystery Horror Suspense Thriller Crime Romance,,"Mystery,Horror,Suspense,Thriller,Crime,Romance",Joan Aiken,,,,,
Sabbia nera,Cristina Cassar Scalia,9788858428573,Einaudi,,,Crime Thriller Mystery,,"Crime,Thriller,Mystery",Cristina Cassar Scalia,,9788858428573,,,
Il silenzio dei chiostri,Alicia Giménez Bartlett,9788838923722,Sellerio,,,Crime Thriller Mystery,,"Crime,Thriller,Mystery",Alicia Giménez Bartlett,,9788838923722,,,
La mossa dell'assassino,Angela Marsons,9788822786630,Newton Compton Editori,,,Fiction Thrillers General,,"Fiction,Thrillers,General",Angela Marsons,,9788822786630,,,
Il bacio del calabrone,Giancarlo de Cataldo,9788858445785,Einaudi,,,Fiction Thrillers Crime,,"Fiction,Thrillers,Crime",Giancarlo de Cataldo,,9788858445785,,,
L'orma del califfo,Wilbur Smith,9788830524194,Harper Collins Italia,,,Fiction General Action&Adventure,,"Fiction,General,Action & Adventure",Wilbur Smith,,9788830524194,,,
Una notte in giallo,Roberto Alajmo,9788838944444,Sellerio,,,Crime,,Crime,"Roberto Alajmo,Andrej Longo,Marco Malvaldi,Antonio Manzini,Francesco Recami,Alessandro Robecchi,Gaetano Savatteri,Fabio Stassi",,9788838944444,,,
Ad occhi chiusi,Gianrico Carofiglio,9788838919053,Sellerio,,,Crime Mystery Thriller,,"Crime,Mystery,Thriller",Gianrico Carofiglio,,9788838919053,,,
